"MSOA11CD","total_cases"
"E02000409",569
"E02000410",358
"E02000411",823
"E02000412",580
"E02000413",534
"E02000414",573
"E02000415",534
"E02000416",626
"E02000417",387
"E02000418",363
"E02000419",706
"E02000420",780
"E02000421",822
"E02000422",598
"E02000423",555
"E02000424",474
"E02000425",748
"E02000426",321
"E02000427",477
"E02000428",807
"E02000429",331
"E02000430",397
"E02000431",271
"E02000432",368
"E02000433",645
"E02000434",766
"E02000435",624
"E02000436",431
"E02000437",716
"E02000438",693
"E02000439",837
"E02000440",771
"E02000441",541
"E02000442",930
"E02000443",1026
"E02000444",676
"E02000445",978
"E02000447",596
"E02000448",394
"E02000449",726
"E02000451",479
"E02000452",811
"E02000453",590
"E02000454",426
"E02000455",852
"E02000456",539
"E02000457",486
"E02000459",747
"E02000460",645
"E02000461",498
"E02000462",618
"E02000463",755
"E02000464",821
"E02000465",1029
"E02000466",969
"E02000467",1173
"E02000468",851
"E02000469",724
"E02000470",954
"E02000471",825
"E02000472",965
"E02000473",1114
"E02000474",951
"E02000475",1036
"E02000476",962
"E02000477",989
"E02000478",643
"E02000479",983
"E02000480",1540
"E02000481",798
"E02000482",530
"E02000483",781
"E02000484",869
"E02000485",779
"E02000486",717
"E02000487",764
"E02000488",718
"E02000489",881
"E02000490",893
"E02000491",1150
"E02000492",718
"E02000493",649
"E02000494",448
"E02000495",769
"E02000496",570
"E02000497",694
"E02000498",421
"E02000499",529
"E02000500",557
"E02000501",622
"E02000502",622
"E02000503",652
"E02000504",595
"E02000506",721
"E02000507",728
"E02000508",931
"E02000509",757
"E02000510",801
"E02000511",1014
"E02000512",803
"E02000513",920
"E02000514",1173
"E02000515",989
"E02000516",885
"E02000517",1009
"E02000518",825
"E02000519",1082
"E02000520",1452
"E02000521",1246
"E02000522",857
"E02000523",1232
"E02000524",825
"E02000525",1031
"E02000526",432
"E02000528",999
"E02000529",1078
"E02000530",872
"E02000531",888
"E02000532",528
"E02000533",395
"E02000534",679
"E02000535",1170
"E02000536",1082
"E02000537",878
"E02000538",1123
"E02000539",938
"E02000540",1113
"E02000541",1090
"E02000542",1204
"E02000543",1246
"E02000544",804
"E02000545",735
"E02000546",1030
"E02000547",995
"E02000548",903
"E02000549",1126
"E02000550",901
"E02000551",780
"E02000552",711
"E02000553",574
"E02000554",642
"E02000555",763
"E02000556",812
"E02000557",600
"E02000558",691
"E02000559",565
"E02000560",541
"E02000561",424
"E02000562",527
"E02000563",645
"E02000564",907
"E02000565",509
"E02000566",456
"E02000567",759
"E02000568",995
"E02000569",602
"E02000570",477
"E02000571",538
"E02000572",600
"E02000573",684
"E02000574",511
"E02000575",745
"E02000576",766
"E02000577",608
"E02000578",482
"E02000579",533
"E02000580",548
"E02000581",489
"E02000582",341
"E02000583",291
"E02000584",366
"E02000585",426
"E02000586",306
"E02000587",327
"E02000588",341
"E02000589",402
"E02000590",346
"E02000591",462
"E02000592",288
"E02000593",361
"E02000594",410
"E02000595",335
"E02000596",418
"E02000597",493
"E02000598",444
"E02000599",623
"E02000600",640
"E02000601",625
"E02000602",729
"E02000603",754
"E02000604",657
"E02000605",582
"E02000606",631
"E02000607",393
"E02000608",397
"E02000609",668
"E02000610",561
"E02000611",564
"E02000612",606
"E02000613",549
"E02000614",824
"E02000615",626
"E02000616",460
"E02000617",743
"E02000619",666
"E02000620",658
"E02000621",972
"E02000622",576
"E02000623",590
"E02000624",669
"E02000625",772
"E02000626",630
"E02000627",773
"E02000628",879
"E02000629",735
"E02000630",519
"E02000631",695
"E02000632",683
"E02000633",530
"E02000634",576
"E02000635",642
"E02000636",512
"E02000637",597
"E02000638",1114
"E02000639",686
"E02000640",613
"E02000641",694
"E02000642",650
